"time","Presens_data.O2_value","position"
"2021-09-15T15:28:27.000Z","77.47","14"
"2021-09-15T15:28:27.000Z","76.45","15"
"2021-09-15T15:28:27.000Z","79.54","16"
"2021-09-15T15:28:27.000Z","79.96","17"
"2021-09-15T15:28:27.000Z","79.97","18"
"2021-09-15T15:28:27.000Z","80.77","19"
"2021-09-15T15:28:27.000Z","76.53","2"
"2021-09-15T15:28:27.000Z","81.32","20"
"2021-09-15T15:28:27.000Z","79.81","21"
"2021-09-15T15:28:27.000Z","71.82","22"
"2021-09-15T15:28:27.000Z","78.75","23"
"2021-09-15T15:28:27.000Z","81.43","24"
"2021-09-15T15:28:27.000Z","79.81","25"
"2021-09-15T15:28:27.000Z","82.97","26"
"2021-09-15T15:28:27.000Z","81.93","27"
"2021-09-15T15:28:27.000Z","83.32","28"
"2021-09-15T15:28:27.000Z","81.63","29"
"2021-09-15T15:28:27.000Z","76.97","3"
"2021-09-15T15:28:27.000Z","80.68","30"
"2021-09-15T15:28:27.000Z","80.24","31"
"2021-09-15T15:28:27.000Z","87.24","32"
"2021-09-15T15:28:27.000Z","84.13","33"
"2021-09-15T15:28:27.000Z","89.92","34"
"2021-09-15T15:28:27.000Z","82.28","35"
"2021-09-15T15:28:27.000Z","84.61","36"
"2021-09-15T15:28:27.000Z","84.04","37"
"2021-09-15T15:28:27.000Z","82.31","38"
"2021-09-15T15:28:27.000Z","82.57","39"
"2021-09-15T15:28:27.000Z","75.27","4"
"2021-09-15T15:28:27.000Z","86.36","40"
"2021-09-15T15:28:27.000Z","84.31","41"
"2021-09-15T15:28:27.000Z","86.46","42"
"2021-09-15T15:28:27.000Z","85.51","43"
"2021-09-15T15:28:27.000Z","82.43","44"
"2021-09-15T15:28:27.000Z","85.69","45"
"2021-09-15T15:28:27.000Z","83.94","46"
"2021-09-15T15:28:27.000Z","84.75","47"
"2021-09-15T15:28:27.000Z","79.49","5"
"2021-09-15T15:28:27.000Z","77.03","6"
"2021-09-15T15:28:27.000Z","78.6","7"
"2021-09-15T15:28:27.000Z","77.75","8"
"2021-09-15T15:28:27.000Z","78.05","9"
"2021-09-15T15:29:27.000Z","84.76","0"
"2021-09-15T15:29:27.000Z","80.71","1"
"2021-09-15T15:29:27.000Z","83.57","10"
"2021-09-15T15:29:27.000Z","83.97","11"
"2021-09-15T15:29:27.000Z","82.32","12"
"2021-09-15T15:29:27.000Z","83.18","13"
"2021-09-15T15:29:27.000Z","83.35","14"
"2021-09-15T15:29:27.000Z","82.21","15"
"2021-09-15T15:29:27.000Z","84.58","16"
"2021-09-15T15:29:27.000Z","84.72","17"
"2021-09-15T15:29:27.000Z","85.27","18"
"2021-09-15T15:29:27.000Z","86.1","19"
"2021-09-15T15:29:27.000Z","82.37","2"
"2021-09-15T15:29:27.000Z","86.47","20"
"2021-09-15T15:29:27.000Z","85.36","21"
"2021-09-15T15:29:27.000Z","80.45","22"
"2021-09-15T15:29:27.000Z","84.35","23"
"2021-09-15T15:29:27.000Z","86.1","24"
"2021-09-15T15:29:27.000Z","84.94","25"
"2021-09-15T15:29:27.000Z","87.4","26"
"2021-09-15T15:29:27.000Z","86.72","27"
"2021-09-15T15:29:27.000Z","87.87","28"
"2021-09-15T15:29:27.000Z","86.23","29"
