"time","Position","Readerdata.Value"
"2021-09-15T18:34:42.000Z","A7","0.231"
"2021-09-15T18:34:42.000Z","A8","0.23"
"2021-09-15T18:34:42.000Z","A9","0.215"
"2021-09-15T18:34:42.000Z","B1","1.269"
"2021-09-15T18:34:42.000Z","B10","0.222"
"2021-09-15T18:34:42.000Z","B11","0.25"
"2021-09-15T18:34:42.000Z","B12","0.253"
"2021-09-15T18:34:42.000Z","B2","1.248"
"2021-09-15T18:34:42.000Z","B3","1.238"
"2021-09-15T18:34:42.000Z","B4","1.258"
"2021-09-15T18:34:42.000Z","B5","1.295"
"2021-09-15T18:34:42.000Z","B6","1.3"
"2021-09-15T18:34:42.000Z","B7","0.259"
"2021-09-15T18:34:42.000Z","B8","0.222"
"2021-09-15T18:34:42.000Z","B9","0.23"
"2021-09-15T18:34:42.000Z","C1","1.222"
"2021-09-15T18:34:42.000Z","C10","0.228"
"2021-09-15T18:34:42.000Z","C11","0.232"
"2021-09-15T18:34:42.000Z","C12","0.178"
"2021-09-15T18:34:42.000Z","C2","1.209"
"2021-09-15T18:34:42.000Z","C3","1.229"
"2021-09-15T18:34:42.000Z","C4","1.221"
"2021-09-15T18:34:42.000Z","C5","1.296"
"2021-09-15T18:34:42.000Z","C6","1.033"
"2021-09-15T18:34:42.000Z","C7","0.223"
"2021-09-15T18:34:42.000Z","C8","0.239"
"2021-09-15T18:34:42.000Z","C9","0.219"
"2021-09-15T18:34:42.000Z","D1","1.206"
"2021-09-15T18:34:42.000Z","D10","0.204"
"2021-09-15T18:34:42.000Z","D11","0.224"
"2021-09-15T18:34:42.000Z","D12","0.245"
"2021-09-15T18:34:42.000Z","D2","1.303"
"2021-09-15T18:34:42.000Z","D3","1.24"
"2021-09-15T18:34:42.000Z","D4","1.218"
"2021-09-15T18:34:42.000Z","D5","1.171"
"2021-09-15T18:34:42.000Z","D6","1.335"
"2021-09-15T18:34:42.000Z","D7","0.222"
"2021-09-15T18:34:42.000Z","D8","0.234"
"2021-09-15T18:34:42.000Z","D9","0.223"
"2021-09-15T18:34:42.000Z","E1","1.214"
"2021-09-15T18:34:42.000Z","E10","0.224"
"2021-09-15T18:34:42.000Z","E11","0.203"
"2021-09-15T18:34:42.000Z","E12","0.23"
"2021-09-15T18:34:42.000Z","E2","1.263"
"2021-09-15T18:34:42.000Z","E3","1.231"
"2021-09-15T18:34:42.000Z","E4","1.238"
"2021-09-15T18:34:42.000Z","E5","1.222"
"2021-09-15T18:34:42.000Z","E6","1.26"
"2021-09-15T18:34:42.000Z","E7","0.225"
"2021-09-15T18:34:42.000Z","E8","0.222"
"2021-09-15T18:34:42.000Z","E9","0.243"
"2021-09-15T18:34:42.000Z","F1","1.206"
"2021-09-15T18:34:42.000Z","F10","0.221"
"2021-09-15T18:34:42.000Z","F11","0.204"
"2021-09-15T18:34:42.000Z","F12","0.223"
"2021-09-15T18:34:42.000Z","F2","1.212"
"2021-09-15T18:34:42.000Z","F3","1.227"
"2021-09-15T18:34:42.000Z","F4","1.25"
"2021-09-15T18:34:42.000Z","F5","1.205"
"2021-09-15T18:34:42.000Z","F6","1.246"
"2021-09-15T18:34:42.000Z","F7","0.213"
"2021-09-15T18:34:42.000Z","F8","0.204"
"2021-09-15T18:34:42.000Z","F9","0.211"
"2021-09-15T18:34:42.000Z","G1","1.197"
"2021-09-15T18:34:42.000Z","G10","0.216"
"2021-09-15T18:34:42.000Z","G11","0.219"
"2021-09-15T18:34:42.000Z","G12","0.227"
"2021-09-15T18:34:42.000Z","G2","1.216"
"2021-09-15T18:34:42.000Z","G3","1.298"
"2021-09-15T18:34:42.000Z","G4","1.232"
"2021-09-15T18:34:42.000Z","G5","1.23"
"2021-09-15T18:34:42.000Z","G6","1.232"
"2021-09-15T18:34:42.000Z","G7","0.257"
"2021-09-15T18:34:42.000Z","G8","0.204"
"2021-09-15T18:34:42.000Z","G9","0.264"
"2021-09-15T18:34:42.000Z","H1","1.208"
"2021-09-15T18:34:42.000Z","H10","0.208"
"2021-09-15T18:34:42.000Z","H11","0.233"
"2021-09-15T18:34:42.000Z","H12","0.205"
"2021-09-15T18:34:42.000Z","H2","1.209"
"2021-09-15T18:34:42.000Z","H3","1.21"
"2021-09-15T18:34:42.000Z","H4","1.177"
"2021-09-15T18:34:42.000Z","H5","1.182"
"2021-09-15T18:34:42.000Z","H6","1.197"
"2021-09-15T18:34:42.000Z","H7","0.207"
"2021-09-15T18:34:42.000Z","H8","0.194"
"2021-09-15T18:34:42.000Z","H9","0.197"
"2021-09-15T19:34:43.000Z","A1","1.253"
"2021-09-15T19:34:43.000Z","A10","0.227"
"2021-09-15T19:34:43.000Z","A11","0.233"
"2021-09-15T19:34:43.000Z","A12","0.263"
"2021-09-15T19:34:43.000Z","A2","1.274"
"2021-09-15T19:34:43.000Z","A3","1.306"
"2021-09-15T19:34:43.000Z","A4","1.267"
"2021-09-15T19:34:43.000Z","A5","1.259"
"2021-09-15T19:34:43.000Z","A6","1.363"
"2021-09-15T19:34:43.000Z","A7","0.255"
"2021-09-15T19:34:43.000Z","A8","0.268"
"2021-09-15T19:34:43.000Z","A9","0.233"
"2021-09-15T19:34:43.000Z","B1","1.295"
"2021-09-15T19:34:43.000Z","B10","0.236"
"2021-09-15T19:34:43.000Z","B11","0.243"
"2021-09-15T19:34:43.000Z","B12","0.269"
"2021-09-15T19:34:43.000Z","B2","1.26"
"2021-09-15T19:34:43.000Z","B3","1.368"
"2021-09-15T19:34:43.000Z","B4","1.299"
"2021-09-15T19:34:43.000Z","B5","1.262"
"2021-09-15T19:34:43.000Z","B6","1.385"
"2021-09-15T19:34:43.000Z","B7","0.247"
"2021-09-15T19:34:43.000Z","B8","0.227"
"2021-09-15T19:34:43.000Z","B9","0.293"
"2021-09-15T19:34:43.000Z","C1","1.283"
"2021-09-15T19:34:43.000Z","C10","0.232"
"2021-09-15T19:34:43.000Z","C11","0.233"
"2021-09-15T19:34:43.000Z","C12","0.212"
"2021-09-15T19:34:43.000Z","C2","1.242"
"2021-09-15T19:34:43.000Z","C3","1.337"
