"time","Position","Readerdata.Value"
"2021-09-30T17:34:22.000Z","C2","1.119"
"2021-09-30T17:34:22.000Z","C3","1.089"
"2021-09-30T17:34:22.000Z","C4","1.141"
"2021-09-30T17:34:22.000Z","C5","1.187"
"2021-09-30T17:34:22.000Z","C6","1.124"
"2021-09-30T17:34:22.000Z","C7","0.183"
"2021-09-30T17:34:22.000Z","C8","0.193"
"2021-09-30T17:34:22.000Z","C9","0.179"
"2021-09-30T17:34:22.000Z","D1","1.117"
"2021-09-30T17:34:22.000Z","D10","0.178"
"2021-09-30T17:34:22.000Z","D11","0.203"
"2021-09-30T17:34:22.000Z","D12","0.187"
"2021-09-30T17:34:22.000Z","D2","1.141"
"2021-09-30T17:34:22.000Z","D3","1.122"
"2021-09-30T17:34:22.000Z","D4","1.063"
"2021-09-30T17:34:22.000Z","D5","1.098"
"2021-09-30T17:34:22.000Z","D6","1.1"
"2021-09-30T17:34:22.000Z","D7","0.184"
"2021-09-30T17:34:22.000Z","D8","0.183"
"2021-09-30T17:34:22.000Z","D9","0.182"
"2021-09-30T17:34:22.000Z","E1","1.155"
"2021-09-30T17:34:22.000Z","E10","0.196"
"2021-09-30T17:34:22.000Z","E11","0.211"
"2021-09-30T17:34:22.000Z","E12","0.195"
"2021-09-30T17:34:22.000Z","E2","1.223"
"2021-09-30T17:34:22.000Z","E3","1.177"
"2021-09-30T17:34:22.000Z","E4","1.124"
"2021-09-30T17:34:22.000Z","E5","1.175"
"2021-09-30T17:34:22.000Z","E6","1.178"
"2021-09-30T17:34:22.000Z","E7","0.19"
"2021-09-30T17:34:22.000Z","E8","0.224"
"2021-09-30T17:34:22.000Z","E9","0.206"
"2021-09-30T17:34:22.000Z","F1","1.182"
"2021-09-30T17:34:22.000Z","F10","0.181"
"2021-09-30T17:34:22.000Z","F11","0.209"
"2021-09-30T17:34:22.000Z","F12","0.196"
"2021-09-30T17:34:22.000Z","F2","1.156"
"2021-09-30T17:34:22.000Z","F3","1.157"
"2021-09-30T17:34:22.000Z","F4","1.081"
"2021-09-30T17:34:22.000Z","F5","1.187"
"2021-09-30T17:34:22.000Z","F6","1.141"
"2021-09-30T17:34:22.000Z","F7","0.191"
"2021-09-30T17:34:22.000Z","F8","0.215"
"2021-09-30T17:34:22.000Z","F9","0.213"
"2021-09-30T17:34:22.000Z","G1","1.11"
"2021-09-30T17:34:22.000Z","G10","0.177"
"2021-09-30T17:34:22.000Z","G11","0.174"
"2021-09-30T17:34:22.000Z","G12","0.201"
"2021-09-30T17:34:22.000Z","G2","1.128"
"2021-09-30T17:34:22.000Z","G3","1.18"
"2021-09-30T17:34:22.000Z","G4","1.069"
"2021-09-30T17:34:22.000Z","G5","1.031"
"2021-09-30T17:34:22.000Z","G6","1.142"
"2021-09-30T17:34:22.000Z","G7","0.184"
"2021-09-30T17:34:22.000Z","G8","0.22"
"2021-09-30T17:34:22.000Z","G9","0.201"
"2021-09-30T17:34:22.000Z","H1","1.153"
"2021-09-30T17:34:22.000Z","H10","0.173"
"2021-09-30T17:34:22.000Z","H11","0.168"
"2021-09-30T17:34:22.000Z","H12","0.19"
"2021-09-30T17:34:22.000Z","H2","1.083"
"2021-09-30T17:34:22.000Z","H3","1.12"
"2021-09-30T17:34:22.000Z","H4","1.076"
"2021-09-30T17:34:22.000Z","H5","1.071"
"2021-09-30T17:34:22.000Z","H6","1.095"
"2021-09-30T17:34:22.000Z","H7","0.199"
"2021-09-30T17:34:22.000Z","H8","0.176"
"2021-09-30T17:34:22.000Z","H9","0.178"
"2021-09-30T18:34:59.000Z","A1","1.111"
"2021-09-30T18:34:59.000Z","A10","0.192"
"2021-09-30T18:34:59.000Z","A11","0.194"
"2021-09-30T18:34:59.000Z","A12","0.179"
"2021-09-30T18:34:59.000Z","A2","1.095"
"2021-09-30T18:34:59.000Z","A3","1.108"
"2021-09-30T18:34:59.000Z","A4","1.043"
"2021-09-30T18:34:59.000Z","A5","1.173"
"2021-09-30T18:34:59.000Z","A6","1.078"
"2021-09-30T18:34:59.000Z","A7","0.208"
"2021-09-30T18:34:59.000Z","A8","0.18"
"2021-09-30T18:34:59.000Z","A9","0.191"
"2021-09-30T18:34:59.000Z","B1","1.086"
"2021-09-30T18:34:59.000Z","B10","0.182"
"2021-09-30T18:34:59.000Z","B11","0.217"
"2021-09-30T18:34:59.000Z","B12","0.185"
"2021-09-30T18:34:59.000Z","B2","1.103"
"2021-09-30T18:34:59.000Z","B3","1.144"
"2021-09-30T18:34:59.000Z","B4","1.069"
"2021-09-30T18:34:59.000Z","B5","1.155"
"2021-09-30T18:34:59.000Z","B6","1.073"
"2021-09-30T18:34:59.000Z","B7","0.179"
"2021-09-30T18:34:59.000Z","B8","0.177"
"2021-09-30T18:34:59.000Z","B9","0.205"
"2021-09-30T18:34:59.000Z","C1","1.089"
"2021-09-30T18:34:59.000Z","C10","0.187"
"2021-09-30T18:34:59.000Z","C11","0.178"
"2021-09-30T18:34:59.000Z","C12","0.187"
"2021-09-30T18:34:59.000Z","C2","1.073"
"2021-09-30T18:34:59.000Z","C3","1.158"
"2021-09-30T18:34:59.000Z","C4","1.066"
"2021-09-30T18:34:59.000Z","C5","1.057"
"2021-09-30T18:34:59.000Z","C6","1.137"
"2021-09-30T18:34:59.000Z","C7","0.185"
"2021-09-30T18:34:59.000Z","C8","0.173"
"2021-09-30T18:34:59.000Z","C9","0.2"
"2021-09-30T18:34:59.000Z","D1","1.104"
"2021-09-30T18:34:59.000Z","D10","0.187"
"2021-09-30T18:34:59.000Z","D11","0.175"
"2021-09-30T18:34:59.000Z","D12","0.187"
"2021-09-30T18:34:59.000Z","D2","1.085"
"2021-09-30T18:34:59.000Z","D3","1.147"
"2021-09-30T18:34:59.000Z","D4","1.152"
"2021-09-30T18:34:59.000Z","D5","1.071"
"2021-09-30T18:34:59.000Z","D6","1.145"
"2021-09-30T18:34:59.000Z","D7","0.198"
"2021-09-30T18:34:59.000Z","D8","0.204"
"2021-09-30T18:34:59.000Z","D9","0.205"
"2021-09-30T18:34:59.000Z","E1","1.143"
"2021-09-30T18:34:59.000Z","E10","0.215"
"2021-09-30T18:34:59.000Z","E11","0.186"
"2021-09-30T18:34:59.000Z","E12","0.207"
"2021-09-30T18:34:59.000Z","E2","1.165"
"2021-09-30T18:34:59.000Z","E3","1.146"
"2021-09-30T18:34:59.000Z","E4","1.202"
"2021-09-30T18:34:59.000Z","E5","1.084"
"2021-09-30T18:34:59.000Z","E6","1.128"
"2021-09-30T18:34:59.000Z","E7","0.186"
"2021-09-30T18:34:59.000Z","E8","0.193"
"2021-09-30T18:34:59.000Z","E9","0.223"
"2021-09-30T18:34:59.000Z","F1","1.166"
"2021-09-30T18:34:59.000Z","F10","0.198"
"2021-09-30T18:34:59.000Z","F11","0.184"
"2021-09-30T18:34:59.000Z","F12","0.195"
"2021-09-30T18:34:59.000Z","F2","1.158"
"2021-09-30T18:34:59.000Z","F3","1.185"
"2021-09-30T18:34:59.000Z","F4","1.135"
"2021-09-30T18:34:59.000Z","F5","1.099"
"2021-09-30T18:34:59.000Z","F6","1.135"
"2021-09-30T18:34:59.000Z","F7","0.223"
"2021-09-30T18:34:59.000Z","F8","0.197"
"2021-09-30T18:34:59.000Z","F9","0.217"
"2021-09-30T18:34:59.000Z","G1","1.114"
"2021-09-30T18:34:59.000Z","G10","0.201"
"2021-09-30T18:34:59.000Z","G11","0.207"
"2021-09-30T18:34:59.000Z","G12","0.191"
"2021-09-30T18:34:59.000Z","G2","1.116"
"2021-09-30T18:34:59.000Z","G3","1.159"
"2021-09-30T18:34:59.000Z","G4","1.162"
"2021-09-30T18:34:59.000Z","G5","1.108"
"2021-09-30T18:34:59.000Z","G6","1.129"
"2021-09-30T18:34:59.000Z","G7","0.212"
"2021-09-30T18:34:59.000Z","G8","0.188"
"2021-09-30T18:34:59.000Z","G9","0.207"
"2021-09-30T18:34:59.000Z","H1","1.165"
"2021-09-30T18:34:59.000Z","H10","0.223"
"2021-09-30T18:34:59.000Z","H11","0.189"
"2021-09-30T18:34:59.000Z","H12","0.189"
"2021-09-30T18:34:59.000Z","H2","1.129"
"2021-09-30T18:34:59.000Z","H3","1.155"
"2021-09-30T18:34:59.000Z","H4","1.198"
"2021-09-30T18:34:59.000Z","H5","1.128"
"2021-09-30T18:34:59.000Z","H6","1.109"
"2021-09-30T18:34:59.000Z","H7","0.195"
"2021-09-30T18:34:59.000Z","H8","0.182"
"2021-09-30T18:34:59.000Z","H9","0.187"
"2021-09-30T19:35:03.000Z","A1","1.066"
"2021-09-30T19:35:03.000Z","A10","0.18"
"2021-09-30T19:35:03.000Z","A11","0.185"
"2021-09-30T19:35:03.000Z","A12","0.193"
"2021-09-30T19:35:03.000Z","A2","1.135"
"2021-09-30T19:35:03.000Z","A3","1.098"
"2021-09-30T19:35:03.000Z","A4","1.07"
"2021-09-30T19:35:03.000Z","A5","1.076"
"2021-09-30T19:35:03.000Z","A6","1.065"
"2021-09-30T19:35:03.000Z","A7","0.187"
"2021-09-30T19:35:03.000Z","A8","0.196"
"2021-09-30T19:35:03.000Z","A9","0.193"
"2021-09-30T19:35:03.000Z","B1","1.135"
"2021-09-30T19:35:03.000Z","B10","0.184"
"2021-09-30T19:35:03.000Z","B11","0.195"
"2021-09-30T19:35:03.000Z","B12","0.194"
"2021-09-30T19:35:03.000Z","B2","1.094"
"2021-09-30T19:35:03.000Z","B3","1.135"
"2021-09-30T19:35:03.000Z","B4","1.107"
"2021-09-30T19:35:03.000Z","B5","1.151"
"2021-09-30T19:35:03.000Z","B6","1.078"
"2021-09-30T19:35:03.000Z","B7","0.233"
"2021-09-30T19:35:03.000Z","B8","0.188"
"2021-09-30T19:35:03.000Z","B9","0.19"
"2021-09-30T19:35:03.000Z","C1","1.1"
"2021-09-30T19:35:03.000Z","C10","0.178"
"2021-09-30T19:35:03.000Z","C11","0.185"
"2021-09-30T19:35:03.000Z","C12","0.178"
"2021-09-30T19:35:03.000Z","C2","1.1"
"2021-09-30T19:35:03.000Z","C3","1.077"
"2021-09-30T19:35:03.000Z","C4","1.088"
"2021-09-30T19:35:03.000Z","C5","1.083"
"2021-09-30T19:35:03.000Z","C6","1.073"
"2021-09-30T19:35:03.000Z","C7","0.197"
"2021-09-30T19:35:03.000Z","C8","0.174"
"2021-09-30T19:35:03.000Z","C9","0.198"
"2021-09-30T19:35:03.000Z","D1","1.099"
"2021-09-30T19:35:03.000Z","D10","0.187"
