"time","Presens_data.pH_value","position"
"2021-10-14T15:25:58.000Z","7.06","33"
"2021-10-14T15:25:58.000Z","6.96","34"
"2021-10-14T15:25:58.000Z","6.97","35"
"2021-10-14T15:25:58.000Z","6.96","36"
"2021-10-14T15:25:58.000Z","7.04","37"
"2021-10-14T15:25:58.000Z","6.94","38"
"2021-10-14T15:25:58.000Z","6.92","39"
"2021-10-14T15:25:58.000Z","6.94","4"
"2021-10-14T15:25:58.000Z","6.99","40"
"2021-10-14T15:25:58.000Z","6.79","41"
"2021-10-14T15:25:58.000Z","6.78","42"
"2021-10-14T15:25:58.000Z","6.96","43"
"2021-10-14T15:25:58.000Z","7.01","44"
"2021-10-14T15:25:58.000Z","6.89","45"
"2021-10-14T15:25:58.000Z","6.88","46"
"2021-10-14T15:25:58.000Z","6.93","47"
"2021-10-14T15:25:58.000Z","6.94","5"
"2021-10-14T15:25:58.000Z","6.92","6"
"2021-10-14T15:25:58.000Z","6.97","7"
"2021-10-14T15:25:58.000Z","6.89","8"
"2021-10-14T15:25:58.000Z","6.98","9"
"2021-10-14T15:26:42.000Z","7.04","0"
"2021-10-14T15:26:42.000Z","7","1"
"2021-10-14T15:26:42.000Z","6.93","10"
"2021-10-14T15:26:42.000Z","6.89","11"
"2021-10-14T15:26:42.000Z","6.92","12"
"2021-10-14T15:26:42.000Z","6.91","13"
"2021-10-14T15:26:42.000Z","6.99","14"
"2021-10-14T15:26:42.000Z","7.02","15"
"2021-10-14T15:26:42.000Z","6.9","16"
"2021-10-14T15:26:42.000Z","6.91","17"
"2021-10-14T15:26:42.000Z","7.01","18"
"2021-10-14T15:26:42.000Z","7","19"
"2021-10-14T15:26:42.000Z","6.98","2"
"2021-10-14T15:26:42.000Z","6.94","20"
"2021-10-14T15:26:42.000Z","6.97","21"
"2021-10-14T15:26:42.000Z","7.02","22"
"2021-10-14T15:26:42.000Z","7.03","23"
"2021-10-14T15:26:42.000Z","6.99","24"
"2021-10-14T15:26:42.000Z","6.88","25"
"2021-10-14T15:26:42.000Z","6.94","26"
"2021-10-14T15:26:42.000Z","6.98","27"
"2021-10-14T15:26:42.000Z","6.96","28"
"2021-10-14T15:26:42.000Z","6.96","29"
"2021-10-14T15:26:42.000Z","6.99","3"
"2021-10-14T15:26:42.000Z","6.99","30"
"2021-10-14T15:26:42.000Z","6.96","31"
"2021-10-14T15:26:42.000Z","6.99","32"
"2021-10-14T15:26:42.000Z","7.06","33"
"2021-10-14T15:26:42.000Z","6.98","34"
"2021-10-14T15:26:42.000Z","6.99","35"
"2021-10-14T15:26:42.000Z","6.98","36"
"2021-10-14T15:26:42.000Z","7.05","37"
"2021-10-14T15:26:42.000Z","6.95","38"
"2021-10-14T15:26:42.000Z","6.92","39"
"2021-10-14T15:26:42.000Z","6.95","4"
"2021-10-14T15:26:42.000Z","7.02","40"
"2021-10-14T15:26:42.000Z","6.84","41"
"2021-10-14T15:26:42.000Z","6.83","42"
"2021-10-14T15:26:42.000Z","7","43"
"2021-10-14T15:26:42.000Z","7.03","44"
"2021-10-14T15:26:42.000Z","6.94","45"
"2021-10-14T15:26:42.000Z","6.93","46"
"2021-10-14T15:26:42.000Z","6.96","47"
"2021-10-14T15:26:42.000Z","6.94","5"
"2021-10-14T15:26:42.000Z","6.93","6"
"2021-10-14T15:26:42.000Z","6.97","7"
"2021-10-14T15:26:42.000Z","6.9","8"
"2021-10-14T15:26:42.000Z","6.98","9"
"2021-10-14T15:27:26.000Z","7.04","0"
"2021-10-14T15:27:26.000Z","7","1"
"2021-10-14T15:27:26.000Z","6.93","10"
"2021-10-14T15:27:26.000Z","6.89","11"
"2021-10-14T15:27:26.000Z","6.92","12"
"2021-10-14T15:27:26.000Z","6.91","13"
"2021-10-14T15:27:26.000Z","7","14"
"2021-10-14T15:27:26.000Z","7.03","15"
"2021-10-14T15:27:26.000Z","6.9","16"
